,Avg. gpm,area/block,Wetted area,inches/hour,Soil h2o holding capacity,MAD %,MAD,,
Irrigation rate (in/hour),352,10,30%,0.07782,4,70%,-2.80,,
,DU,pre infiltration losses,IE with perfect timing,Canopy Cover Adjustment,Hours Run,Water Applied,Adjusted for IE,,
Irrigation efficiency,0.85,0.05,0.8075,85%,24,1.868,1.508,,
,,,,,,,,,
,,,,,,,,,
Date,Average Pressure Bomb Reading,Eto,Monthly Crop Coefficient,ETc,Hours System Run,Precipitation / Irrigation,Previous Weeks Debit/Credit,Soil Moisture Balance,MAD
March 1,,0.07,0.364,0.021658,,0,0.00,-0.022,-2.80
March 2 ,,0.01,0.418,0.00418,,0,-0.02,-0.026,-2.80
3/15/2020,,0.07,0.62,0.03689,,0,-0.03,-0.063,-2.80
3/16/2020,,0.01,0.62,0.00527,,0,-0.06,-0.068,-2.80
3/17/2020,,0.1,0.62,0.0527,,0,-0.07,-0.121,-2.80
3/18/2020,,0.08,0.62,0.04216,,0,-0.12,-0.163,-2.80
3/19/2020,,0.12,0.62,0.06324,,0,-0.16,-0.226,-2.80
3/20/2020,,0.14,0.62,0.07378,,0,-0.23,-0.300,-2.80
3/21/2020,,0.1,0.62,0.0527,,0,-0.30,-0.353,-2.80
3/22/2020,,0.13,0.62,0.06851,,0,-0.35,-0.421,-2.80
3/23/2020,,-0.11,0.62,-0.05797,,0,-0.42,-0.363,-2.80
3/24/2020,,0.11,0.62,0.05797,,0,-0.36,-0.421,-2.80
3/25/2020,,0.1,0.62,0.0527,,0,-0.42,-0.474,-2.80
3/26/2020,,0.14,0.62,0.07378,,0,-0.47,-0.548,-2.80
3/27/2020,,0.14,0.62,0.07378,,0,-0.55,-0.621,-2.80
3/28/2020,,0,0.62,0,,0,-0.62,-0.621,-2.80
3/29/2020,,0.1,0.62,0.0527,,0,-0.62,-0.674,-2.80
3/30/2020,,0.14,0.62,0.07378,,0,-0.67,-0.748,-2.80
3/31/2020,,0.15,0.62,0.07905,24,1.50811636363636,-0.75,0.681,-2.80
4/1/2020,,0.18,0.8,0.1224,,0,0.68,0.559,-2.80
4/2/2020,,0.21,0.8,0.1428,,0,0.56,0.416,-2.80
4/3/2020,,0.18,0.8,0.1224,,0,0.42,0.294,-2.80
4/4/2020,,0.07,0.8,0.0476,,0,0.29,0.246,-2.80
4/5/2020,,-0.57,0.8,-0.3876,,0,0.25,0.634,-2.80
4/6/2020,,-0.11,0.8,-0.0748,,0,0.63,0.708,-2.80
4/7/2020,,0.16,0.8,0.1088,,0,0.71,0.600,-2.80
4/8/2020,,0.11,0.8,0.0748,,0,0.60,0.525,-2.80
4/9/2020,,-0.1,0.8,-0.068,,0,0.52,0.593,-2.80
4/10/2020,,0.12,0.8,0.0816,,0,0.59,0.511,-2.80
4/11/2020,,0.17,0.8,0.1156,,0,0.51,0.396,-2.80
4/12/2020,,0.13,0.8,0.0884,,0,0.40,0.307,-2.80
4/13/2020,,0.2,0.8,0.136,,0,0.31,0.171,-2.80
4/14/2020,,0.22,0.8,0.1496,,0,0.17,0.022,-2.80
4/15/2020,,0.2,0.8,0.136,,0,0.02,-0.114,-2.80
4/16/2020,,0.17,0.8,0.1156,,0,-0.11,-0.230,-2.80
4/17/2020,,0.16,0.8,0.1088,,0,-0.23,-0.339,-2.80
4/18/2020,,0.13,0.8,0.0884,,0,-0.34,-0.427,-2.80
4/19/2020,,0.18,0.8,0.1224,,0,-0.43,-0.550,-2.80
4/20/2020,,0.13,0.8,0.0884,,0,-0.55,-0.638,-2.80
4/21/2020,,0.21,0.8,0.1428,,0,-0.64,-0.781,-2.80
4/22/2020,,0.22,0.8,0.1496,,0,-0.78,-0.930,-2.80
4/23/2020,,0.27,0.8,0.1836,24,1.50811636363636,-0.93,0.394,-2.80
4/24/2020,,0.27,0.8,0.1836,,0,0.39,0.211,-2.80
4/25/2020,,0.25,0.8,0.17,,0,0.21,0.041,-2.80
4/26/2020,,0.26,0.8,0.1768,,0,0.04,-0.136,-2.80
4/27/2020,,0.27,0.8,0.1836,,0,-0.14,-0.320,-2.80
4/28/2020,,0.26,0.8,0.1768,,0,-0.32,-0.497,-2.80
4/29/2020,,0.22,0.8,0.1496,,0,-0.50,-0.646,-2.80
4/30/2020,,0.29,0.8,0.1972,24,1.50811636363636,-0.65,0.665,-2.80
5/1/2020,,0.27,0.94,0.21573,,0,0.66,0.449,-2.80
5/2/2020,,0.23,0.94,0.18377,,0,0.45,0.265,-2.80
5/3/2020,,0.25,0.94,0.19975,,0,0.27,0.065,-2.80
5/4/2020,,0.26,0.94,0.20774,,0,0.07,-0.142,-2.80
5/5/2020,,0.27,0.94,0.21573,,0,-0.14,-0.358,-2.80
5/6/2020,,0.3,0.94,0.2397,,0,-0.36,-0.598,-2.80
5/7/2020,,0.29,0.94,0.23171,,0,-0.60,-0.829,-2.80
5/8/2020,,0.28,0.94,0.22372,,0,-0.83,-1.053,-2.80
5/9/2020,,0.3,0.94,0.2397,24,1.50811636363636,-1.05,0.215,-2.80
5/10/2020,,0.29,0.94,0.23171,,0,0.22,-0.016,-2.80
5/11/2020,,0.26,0.94,0.20774,,0,-0.02,-0.224,-2.80
5/12/2020,,0.25,0.94,0.19975,,0,-0.22,-0.424,-2.80
5/13/2020,,0.2,0.94,0.1598,,0,-0.42,-0.584,-2.80
5/14/2020,,0.22,0.94,0.17578,,0,-0.58,-0.760,-2.80
5/15/2020,,0.25,0.94,0.19975,,0,-0.76,-0.959,-2.80
5/16/2020,,0.23,0.94,0.18377,24,1.50811636363636,-0.96,0.365,-2.80
5/17/2020,,0.1,0.94,0.0799,,0,0.37,0.285,-2.80
5/18/2020,,0.14,0.94,0.11186,,0,0.29,0.173,-2.80
5/19/2020,,0.21,0.94,0.16779,,0,0.17,0.006,-2.80
5/20/2020,,0.22,0.94,0.17578,,0,0.01,-0.170,-2.80
5/21/2020,,0.25,0.94,0.19975,,0,-0.17,-0.370,-2.80
5/22/2020,,0.26,0.94,0.20774,,0,-0.37,-0.578,-2.80
5/23/2020,,0.29,0.94,0.23171,,0,-0.58,-0.809,-2.80
5/24/2020,,0.28,0.94,0.22372,,0,-0.81,-1.033,-2.80
5/25/2020,,0.26,0.94,0.20774,24,1.50811636363636,-1.03,0.267,-2.80
5/26/2020,,0.26,0.94,0.20774,,0,0.27,0.059,-2.80
5/27/2020,,0.29,0.94,0.23171,,0,0.06,-0.172,-2.80
5/28/2020,,0.3,0.94,0.2397,,0,-0.17,-0.412,-2.80
5/29/2020,,0.25,0.94,0.19975,,0,-0.41,-0.612,-2.80
5/30/2020,,0.19,0.94,0.15181,,0,-0.61,-0.764,-2.80
5/31/2020,,0.17,0.94,0.13583,,0,-0.76,-0.899,-2.80
6/1/2020,,0.24,1.05,0.2142,,0,-0.90,-1.114,-2.80
6/2/2020,,0.28,1.05,0.2499,,0,-1.11,-1.363,-2.80
6/3/2020,,0.3,1.05,0.26775,,0,-1.36,-1.631,-2.80
6/4/2020,,0.34,1.05,0.30345,24,1.50811636363636,-1.63,-0.427,-2.80
6/5/2020,,0.3,1.05,0.26775,,0,-0.43,-0.694,-2.80
6/6/2020,,0.29,1.05,0.258825,,0,-0.69,-0.953,-2.80
6/7/2020,,0.29,1.05,0.258825,,0,-0.95,-1.212,-2.80
6/8/2020,,0.32,1.05,0.2856,,0,-1.21,-1.498,-2.80
6/9/2020,,0.27,1.05,0.240975,,0,-1.50,-1.739,-2.80
6/10/2020,,0.29,1.05,0.258825,24,1.50811636363636,-1.74,-0.489,-2.80
6/11/2020,,0.3,1.05,0.26775,,0,-0.49,-0.757,-2.80
6/12/2020,,0.25,1.05,0.223125,,0,-0.76,-0.980,-2.80
6/13/2020,,0.25,1.05,0.223125,,0,-0.98,-1.203,-2.80
6/14/2020,,0.27,1.05,0.240975,,0,-1.20,-1.444,-2.80
6/15/2020,,0.26,1.05,0.23205,,0,-1.44,-1.676,-2.80
6/16/2020,,0.28,1.05,0.2499,,0,-1.68,-1.926,-2.80
6/17/2020,,0.31,1.05,0.276675,36,2.26217454545455,-1.93,0.059,-2.80
6/18/2020,,0.29,1.05,0.258825,,0,0.06,-0.199,-2.80
6/19/2020,,0.3,1.05,0.26775,,0,-0.20,-0.467,-2.80
6/20/2020,,0.31,1.05,0.276675,,0,-0.47,-0.744,-2.80
6/21/2020,,0.32,1.05,0.2856,,0,-0.74,-1.030,-2.80
6/22/2020,,0.3,1.05,0.26775,,0,-1.03,-1.297,-2.80
6/23/2020,,0.31,1.05,0.276675,,0,-1.30,-1.574,-2.80
6/24/2020,,0.31,1.05,0.276675,,0,-1.57,-1.851,-2.80
6/25/2020,,0.33,1.05,0.294525,,0,-1.85,-2.145,-2.80
6/26/2020,,0.31,1.05,0.276675,24,1.50811636363636,-2.15,-0.914,-2.80
6/27/2020,,0.35,1.05,0.312375,,0,-0.91,-1.226,-2.80
6/28/2020,,0.32,1.05,0.2856,,0,-1.23,-1.512,-2.80
6/29/2020,,0.29,1.05,0.258825,,0,-1.51,-1.770,-2.80
6/30/2020,,0.29,1.05,0.258825,,0,-1.77,-2.029,-2.80
7/1/2020,,0.3,1.1,0.2805,,0,-2.03,-2.310,-2.80
7/2/2020,,0.29,1.1,0.27115,24,1.50811636363636,-2.31,-1.073,-2.80
7/3/2020,,0.27,1.1,0.25245,,0,-1.07,-1.325,-2.80
7/4/2020,,0.29,1.1,0.27115,,0,-1.33,-1.596,-2.80
7/5/2020,,0.31,1.1,0.28985,,0,-1.60,-1.886,-2.80
7/6/2020,,0.32,1.1,0.2992,,0,-1.89,-2.185,-2.80
7/7/2020,,0.28,1.1,0.2618,,0,-2.19,-2.447,-2.80
7/8/2020,,0.29,1.1,0.27115,24,1.50811636363636,-2.45,-1.210,-2.80
7/9/2020,,0.29,1.1,0.27115,,0,-1.21,-1.481,-2.80
7/10/2020,,0.29,1.1,0.27115,,0,-1.48,-1.753,-2.80
7/11/2020,,0.29,1.1,0.27115,,0,-1.75,-2.024,-2.80
7/12/2020,,0.3,1.1,0.2805,,0,-2.02,-2.304,-2.80
7/13/2020,,0.35,1.1,0.32725,,0,-2.30,-2.632,-2.80
7/14/2020,,0.3,1.1,0.2805,,0,-2.63,-2.912,-2.80
7/15/2020,,0.28,1.1,0.2618,,0,-2.91,-3.174,-2.80
7/16/2020,,0.28,1.1,0.2618,36,2.26217454545455,-3.17,-1.173,-2.80
7/17/2020,,0.28,1.1,0.2618,,0,-1.17,-1.435,-2.80
7/18/2020,,0.27,1.1,0.25245,,0,-1.44,-1.688,-2.80
7/19/2020,,0.28,1.1,0.2618,,0,-1.69,-1.950,-2.80
7/20/2020,,0.27,1.1,0.25245,,0,-1.95,-2.202,-2.80
7/21/2020,,0.24,1.1,0.2244,,0,-2.20,-2.426,-2.80
7/22/2020,,0.26,1.1,0.2431,,0,-2.43,-2.669,-2.80
7/23/2020,,0.27,1.1,0.25245,,0,-2.67,-2.922,-2.80
7/24/2020,,0.28,1.1,0.2618,,0,-2.92,-3.184,-2.80
7/25/2020,,0.27,1.1,0.25245,,0,-3.18,-3.436,-2.80
7/26/2020,,0.28,1.1,0.2618,24,1.50811636363636,-3.44,-2.190,-2.80
7/27/2020,,0.3,1.1,0.2805,,0,-2.19,-2.470,-2.80
7/28/2020,,0.3,1.1,0.2805,,0,-2.47,-2.751,-2.80
7/29/2020,,0.3,1.1,0.2805,,0,-2.75,-3.031,-2.80
7/30/2020,,0.3,1.1,0.2805,,0,-3.03,-3.312,-2.80
7/31/2020,,0.3,1.1,0.2805,,0,-3.31,-3.592,-2.80
8/1/2020,,0.3,,0,,0,-3.59,-3.592,-2.80
8/2/2020,,0.3,,0,,0,-3.59,-3.592,-2.80
8/3/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/4/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/5/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/6/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/7/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/8/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/9/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/10/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/11/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/12/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/13/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/14/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/15/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/16/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/17/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/18/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/19/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/20/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/21/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/22/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/23/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/24/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/25/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/26/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/27/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/28/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/29/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/30/2020,,0,,0,,0,-3.59,-3.592,-2.80
8/31/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/1/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/2/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/3/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/4/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/5/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/6/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/7/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/8/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/9/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/10/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/11/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/12/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/13/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/14/2020,,0,,0,,0,-3.59,-3.592,-2.80
9/15/2020,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
12/30/1899,,0,,0,,0,-3.59,-3.592,-2.80
